ID;Pessoa;Nome;Telefone;Email;Cep;Endereço;Número do Endereço;Complemento;Bairro;Cidade;UF;Titular;Substituto 1 Nome;Substituto 1 Início;Substituto 1 Fim;Substituto 2 Nome;Substituto 2 Início;Substituto 2 Fim;Substituto 3 Nome;Substituto 3 Início;Substituto 3 Fim;Substituto 4 Nome;Substituto 4 Início;Substituto 4 Fim;Substituto 5 Nome;Substituto 5 Início;Substituto 5 Fim;Substituto 6 Nome;Substituto 6 Início;Substituto 6 Fim;Substituto 7 Nome;Substituto 7 Início;Substituto 7 Fim;Substituto 8 Nome;Substituto 8 Início;Substituto 8 Fim;Substituto 9 Nome;Substituto 9 Início;Substituto 9 Fim;Substituto 10 Nome;Substituto 10 Início;Substituto 10 Fim;Designado 1 Nome;Designado 1 Início;Designado 1 Fim;Designado 2 Nome;Designado 2 Início;Designado 2 Fim;Designado 3 Nome;Designado 3 Início;Designado 3 Fim;Designado 4 Nome;Designado 4 Início;Designado 4 Fim;Designado 5 Nome;Designado 5 Início;Designado 5 Fim;Designado 6 Nome;Designado 6 Início;Designado 6 Fim;Designado 7 Nome;Designado 7 Início;Designado 7 Fim
847;J;1ª Vara Cível e Criminal de Nossa Senhora das Dores;(79) 3265-4900;nsdores@tjse.jus.br;;Praça. Des. Aloísio de Abreu Lima;1;;Centro;Nossa Senhora das Dores;SE;MARIA ALICE AL VES SANT OS MEL OFIGUEIREDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;J;10ª Vara Cível de Aracaju;(79) 3226-3646;10civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;CRISTIANO JOSE MA CEDO COSTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thiago Dias Peixoto;29/09/2025;30/09/2025;;;;;;;;;;;;;;;;;;
87;J;10º Juizado Especial Cível de Aracaju;(79) 3234-5538;10jec.aracaju@tjse.jus.br;49040740;Rua Paulo Henrique Machado Pimentel;170;;Inácio Barbosa;Aracaju;SE;PATRICIA DE ALMEID AMENEZES;ELIANE CARDOSO COSTA MA GALHAES;29/09/2025;18/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;J;13ª Vara Cível de Aracaju;(79) 3226-3658;13civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;JOSE AMINT AS NOR ONHA DE MENESES JUNIOR;BETHZAMARA ROCHA MA CEDO;05/09/2025;05/09/2025;BETHZAMARA ROCHA MA CEDO;22/09/2025;30/09/2025;Marina de Almeida Menezes Barbosa;01/07/2025;14/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;J;14ª Vara Cível de Aracaju;(79) 3226-3658;14civel.aracaju@tjse.jus.br;49080901;Av. Pres. Tancredo Neves,;S/N;Fórum Gumersindo Bessa;Capucho;Aracaju;SE;VANIA FERREIRA DE BARR OS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;J;15ª Vara Cível de Aracaju;(79) 3226-3666;15civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;BETHZAMARA ROCHA MA CEDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;J;18ª Vara Cível de Aracaju;(79) 3226-3670;18civel.aracaju@tjse.jus.br;49080901;Av. Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;CHRISTINA MA CHADO DE SALES ESIL VA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;J;19ª Vara Cível de Aracaju;(79) 3234-5410;19civel.aracaju@tjse.jus.br;;Av. Visconde de Maracaju;s/n;Fóruns Integrados II;Dezoito do Forte;Aracaju;SE;MARIA LUIZA FO ZMENDONÇA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;J;1ª Vara Cível de Aracaju;(79) 3226-3607;1civel.aracaju@tjse.jus.br;49081901;Av. Pres. Tancredo Neves;s/n;;Capucho;Aracaju;SE;SER GIO MENEZES LUCAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;J;1ª Vara Cível de Estância;(79) 3522-2297;1civel.estancia@tjse.jus.br;49200000;Av. Tenente Eloy;470;;Centro;Estância;SE;JOSE MAR CELO BARRET OPIMENT A04/09/25, 16:38 Relatório de Designação Mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
